num_fam,nb_members,sum_quanti,sum_quali,nb_0,nb_mono,nb_multi,sum_0_mono_multi,max_multi
175,112,112,112,0,112,0,112,1
176,81,81,81,31,81,0,112,1
177,112,112,112,0,112,0,112,1
178,112,112,112,0,112,0,112,1
179,110,110,102,10,96,6,112,3
180,112,112,112,0,112,0,112,1
181,111,111,111,1,111,0,112,1
182,112,112,112,0,112,0,112,1
183,112,112,112,0,112,0,112,1
184,112,112,112,0,112,0,112,1
185,110,110,110,2,110,0,112,1
186,112,112,112,0,112,0,112,1
187,112,112,112,0,112,0,112,1
188,112,112,112,0,112,0,112,1
189,112,112,112,0,112,0,112,1
190,111,111,111,1,111,0,112,1
191,112,112,112,0,112,0,112,1
192,111,111,110,2,109,1,112,2
193,112,112,112,0,112,0,112,1
194,112,112,112,0,112,0,112,1
195,112,112,112,0,112,0,112,1
196,111,111,111,1,111,0,112,1
197,112,112,112,0,112,0,112,1
198,112,112,112,0,112,0,112,1
199,113,113,112,0,111,1,112,2
200,110,110,110,2,110,0,112,1
201,112,112,112,0,112,0,112,1
202,112,112,112,0,112,0,112,1
203,112,112,112,0,112,0,112,1
204,111,111,111,1,111,0,112,1
205,1,1,1,111,1,0,112,1
206,112,112,112,0,112,0,112,1
207,109,109,109,3,109,0,112,1
208,96,96,96,16,96,0,112,1
209,96,96,96,16,96,0,112,1
210,112,112,112,0,112,0,112,1
211,112,112,112,0,112,0,112,1
212,111,111,111,1,111,0,112,1
213,112,112,112,0,112,0,112,1
214,112,112,112,0,112,0,112,1
215,31,31,31,81,31,0,112,1
216,112,112,112,0,112,0,112,1
217,112,112,112,0,112,0,112,1
218,112,112,112,0,112,0,112,1
219,12,12,12,100,12,0,112,1
220,33,33,33,79,33,0,112,1
221,108,108,108,4,108,0,112,1
222,108,108,108,4,108,0,112,1
223,109,109,109,3,109,0,112,1
224,112,112,112,0,112,0,112,1
225,112,112,112,0,112,0,112,1
226,111,111,111,1,111,0,112,1
227,109,109,109,3,109,0,112,1
228,111,111,111,1,111,0,112,1
229,100,100,100,12,100,0,112,1
230,112,112,112,0,112,0,112,1
231,112,112,112,0,112,0,112,1
232,112,112,112,0,112,0,112,1
233,29,29,29,83,29,0,112,1
234,112,112,112,0,112,0,112,1
235,112,112,112,0,112,0,112,1
236,112,112,112,0,112,0,112,1
237,100,100,100,12,100,0,112,1
238,111,111,111,1,111,0,112,1
239,98,98,98,14,98,0,112,1
240,108,108,108,4,108,0,112,1
241,110,110,110,2,110,0,112,1
242,113,113,112,0,111,1,112,2
243,113,113,112,0,111,1,112,2
244,112,112,112,0,112,0,112,1
245,111,111,111,1,111,0,112,1
246,111,111,111,1,111,0,112,1
247,110,110,110,2,110,0,112,1
248,110,110,110,2,110,0,112,1
249,60,60,60,52,60,0,112,1
250,110,110,110,2,110,0,112,1
251,109,109,109,3,109,0,112,1
252,108,108,108,4,108,0,112,1
253,112,112,112,0,112,0,112,1
254,111,111,110,2,109,1,112,2
255,80,80,80,32,80,0,112,1
256,112,112,112,0,112,0,112,1
257,112,112,112,0,112,0,112,1
258,111,111,111,1,111,0,112,1
259,112,112,112,0,112,0,112,1
260,105,105,105,7,105,0,112,1
