strain,contig_id,old,new
BUMA.1121.00020,1_NZ_CP009731.1,1,1
BUMA.1121.00020,2_NZ_CP009732.1,2,2
BUMA.1121.00021,1_NZ_CP018387.1,1,1
BUMA.1121.00021,2_NZ_CP018388.1,2,2
BUMA.1121.00022,1_NZ_CP009587.1,1,1
BUMA.1121.00022,2_NZ_CP009588.1,2,2
BUMA.1121.00023,1_NZ_CP018389.1,1,1
BUMA.1121.00023,2_NZ_CP018390.1,2,2
BUMA.1121.00024,1_NZ_CP009735.1,1,1
BUMA.1121.00024,2_NZ_CP009736.1,2,2
BUMA.1121.00025,2_NZ_CP018399.1,2,1
BUMA.1121.00025,1_NZ_CP018398.1,1,2
BUMA.1121.00026,1_NZ_CP009707.1,1,1
BUMA.1121.00026,2_NZ_CP009708.1,2,2
BUMA.1121.00027,1_NZ_CP018400.1,1,1
BUMA.1121.00027,2_NZ_CP018401.1,2,2
BUMA.1121.00028,1_NZ_CP009737.1,1,1
BUMA.1121.00028,2_NZ_CP009738.1,2,2
BUMA.1121.00029,2_NZ_CP018403.1,2,1
BUMA.1121.00029,1_NZ_CP018402.1,1,2
BUMA.1121.00030,1_NZ_CP009725.1,1,1
BUMA.1121.00030,2_NZ_CP009726.1,2,2
BUMA.1121.00031,1_NZ_CP018408.1,1,1
BUMA.1121.00031,2_NZ_CP018409.1,2,2
BUMA.1121.00032,1_NZ_CM012067.1,1,1
BUMA.1121.00032,2_NZ_RKJZ01000001.1,2,2
BUMA.1121.00033,1_NZ_CP018414.1,1,1
BUMA.1121.00033,2_NZ_CP018415.1,2,2
BUMA.1121.00034,1_NZ_CP009739.1,1,1
BUMA.1121.00034,2_NZ_CP009740.1,2,2
BUMA.1121.00035,1_NZ_CP018416.1,1,1
BUMA.1121.00035,2_NZ_CP018417.1,2,2
BUMA.1121.00036,1_NZ_CP009337.1,1,1
BUMA.1121.00036,2_NZ_CP009338.1,2,2
BUMA.1121.00037,1_NZ_CP018369.1,1,1
BUMA.1121.00037,2_NZ_CP018370.1,2,2
BUMA.1121.00038,1_NZ_CP009931.1,1,1
BUMA.1121.00038,2_NZ_CP009932.1,2,2
BUMA.1121.00039,2_NZ_CP018372.1,2,1
BUMA.1121.00039,1_NZ_CP018371.1,1,2
BUMA.1121.00040,1_NZ_CP017175.1,1,1
BUMA.1121.00040,2_NZ_CP017176.1,2,2
BUMA.1121.00041,2_NZ_CP018383.1,2,1
BUMA.1121.00041,1_NZ_CP018382.1,1,2
BUMA.1121.00042,1_NZ_CP008711.1,1,1
BUMA.1121.00042,2_NZ_CP008710.1,2,2
BUMA.1121.00043,2_NZ_CP018413.1,2,1
BUMA.1121.00043,1_NZ_CP018412.1,1,2
BUMA.1121.00044,1_NZ_CM012068.1,1,1
BUMA.1121.00044,2_NZ_RKJW01000001.1,2,2
BUMA.1121.00045,1_NZ_CP025264.1,1,1
BUMA.1121.00045,2_NZ_CP025265.1,2,2
BUMA.1121.00046,1_NZ_CP009942.1,1,1
BUMA.1121.00046,2_NZ_CP009943.1,2,2
BUMA.1121.00047,1_NZ_CP019042.1,1,1
BUMA.1121.00047,2_NZ_CP019043.1,2,2
BUMA.1121.00048,1_NZ_CP009148.1,1,1
BUMA.1121.00048,2_NZ_CP009147.1,2,2
BUMA.1121.00049,1_NZ_CP008755.1,1,1
BUMA.1121.00049,2_NZ_CP008754.1,2,2
BUMA.1121.00050,1_NZ_CP008732.1,1,1
BUMA.1121.00050,2_NZ_CP008731.1,2,2
BUMA.1121.00051,1_NZ_CP025306.1,1,1
BUMA.1121.00051,2_NZ_CP025307.1,2,2
BUMA.1121.00052,1_NZ_CM012066.1,1,1
BUMA.1121.00052,2_NZ_RKJV01000001.1,2,2
BUMA.1121.00053,1_NZ_CP023775.1,1,1
BUMA.1121.00053,2_NZ_CP023776.1,2,2
BUMA.1121.00054,1_NZ_CM012065.1,1,1
BUMA.1121.00054,2_NZ_RKJU01000001.1,2,2
BUMA.1121.00055,1_NZ_CP033703.1,1,1
BUMA.1121.00055,2_NZ_CP033704.1,2,2
BUMA.1121.00056,1_NZ_CP008758.1,1,1
BUMA.1121.00056,2_NZ_CP008759.1,2,2
BUMA.1121.00057,1_NZ_CP033705.1,1,1
BUMA.1121.00057,2_NZ_CP033706.1,2,2
BUMA.1121.00058,1_NZ_CP009128.1,1,1
BUMA.1121.00058,2_NZ_CP009127.1,2,2
BUMA.1121.00059,2_NZ_CP033702.1,2,1
