Seq_id	Size	Description
--------------------------------------------------------------------------------
Block #732
Seq_id	Strand	Start	End	Length
109	+	1921406	1928373	6967
206	-	2297585	2290466	7119
--------------------------------------------------------------------------------
Block #731
Seq_id	Strand	Start	End	Length
109	+	1908934	1920240	11306
206	-	2308571	2298750	9821
--------------------------------------------------------------------------------
Block #730
Seq_id	Strand	Start	End	Length
108	+	2019344	2022513	3169
202	+	1627167	1630632	3465
212	+	3498543	3501725	3182
--------------------------------------------------------------------------------
Block #729
Seq_id	Strand	Start	End	Length
108	+	792281	796143	3862
187	+	2509405	2513269	3864
--------------------------------------------------------------------------------
Block #728
Seq_id	Strand	Start	End	Length
106	+	1837502	1843623	6121
114	-	2022183	2016062	6121
--------------------------------------------------------------------------------
Block #727
Seq_id	Strand	Start	End	Length
102	+	3201623	3205172	3549
210	+	381196	384745	3549
--------------------------------------------------------------------------------
Block #726
Seq_id	Strand	Start	End	Length
102	+	728954	733124	4170
147	+	874020	878191	4171
--------------------------------------------------------------------------------
Block #725
Seq_id	Strand	Start	End	Length
102	+	718819	728953	10134
147	+	863885	874019	10134
196	-	3599507	3589364	10143
--------------------------------------------------------------------------------
Block #724
Seq_id	Strand	Start	End	Length
95	+	3835506	3841840	6334
177	+	3311792	3318126	6334
--------------------------------------------------------------------------------
Block #723
Seq_id	Strand	Start	End	Length
95	+	3819479	3834338	14859
177	+	3295765	3310624	14859
--------------------------------------------------------------------------------
Block #722
Seq_id	Strand	Start	End	Length
95	+	2902444	2906830	4386
118	-	1515416	1511030	4386
177	+	2344822	2349208	4386
--------------------------------------------------------------------------------
Block #721
Seq_id	Strand	Start	End	Length
95	+	2895148	2898377	3229
118	-	1521372	1518149	3223
177	+	2338867	2342089	3222
--------------------------------------------------------------------------------
Block #720
Seq_id	Strand	Start	End	Length
93	+	3161405	3166721	5316
129	-	757853	753871	3982
144	+	2699118	2703099	3981
148	-	728180	724198	3982
--------------------------------------------------------------------------------
Block #719
Seq_id	Strand	Start	End	Length
92	+	2998888	3007432	8544
102	+	3192752	3201474	8722
108	-	805065	796538	8527
149	-	3953165	3944822	8343
165	+	370899	379232	8333
187	-	2523589	2515026	8563
205	-	1333927	1325594	8333
210	+	372704	381047	8343
--------------------------------------------------------------------------------
Block #718
Seq_id	Strand	Start	End	Length
92	+	573711	577890	4179
102	+	881679	885855	4176
--------------------------------------------------------------------------------
Block #717
Seq_id	Strand	Start	End	Length
92	+	564232	568331	4099
109	-	822149	818051	4098
--------------------------------------------------------------------------------
Block #716
Seq_id	Strand	Start	End	Length
91	+	1968088	1972893	4805
202	+	375382	380055	4673
206	+	195090	199767	4677
--------------------------------------------------------------------------------
Block #715
Seq_id	Strand	Start	End	Length
91	+	1945185	1951123	5938
202	+	356131	362059	5928
206	+	175455	181386	5931
--------------------------------------------------------------------------------
Block #714
Seq_id	Strand	Start	End	Length
91	+	1923394	1939149	15755
206	+	94940	110696	15756
--------------------------------------------------------------------------------
Block #713
Seq_id	Strand	Start	End	Length
91	+	1314799	1318944	4145
126	-	2430426	2426280	4146
--------------------------------------------------------------------------------
Block #712
Seq_id	Strand	Start	End	Length
91	+	1305935	1310529	4594
126	-	2439290	2434696	4594
222	+	1940601	1946603	6002
--------------------------------------------------------------------------------
Block #711
Seq_id	Strand	Start	End	Length
91	+	1301058	1304551	3493
126	-	2444166	2440673	3493
--------------------------------------------------------------------------------
Block #710
Seq_id	Strand	Start	End	Length
89	+	2418377	2426154	7777
116	-	526520	518743	7777
--------------------------------------------------------------------------------
Block #709
Seq_id	Strand	Start	End	Length
89	+	2409772	2417208	7436
116	-	535125	527689	7436
--------------------------------------------------------------------------------
Block #336
Seq_id	Strand	Start	End	Length
8	+	937480	948446	10966
11	-	4020911	4009991	10920
12	+	3396128	3407015	10887
13	+	1116470	1127421	10951
14	-	2987000	2976210	10790
17	+	985120	995989	10869
18	-	3095608	3084818	10790
20	+	1054393	1065183	10790
25	-	2784824	2774039	10785
26	-	3069813	3059023	10790
30	+	1284645	1295527	10882
34	-	3116814	3105897	10917
35	+	2557298	2568161	10863
36	-	2024815	2014059	10756
37	-	2453778	2442992	10786
40	-	1744602	1733818	10784
41	-	985612	974698	10914
42	-	482977	472094	10883
43	-	32436	21613	10823
44	-	1133157	1122320	10837
45	+	3640379	3651279	10900
47	+	2537501	2548387	10886
53	+	3950352	3961263	10911
56	+	3835036	3845965	10929
57	-	3058207	3047417	10790
58	+	2781645	2792480	10835
60	-	2495841	2484990	10851
63	+	2966613	2977556	10943
65	+	2752682	2763523	10841
67	+	3162915	3173790	10875
68	-	2174129	2163226	10903
70	+	1550039	1560885	10846
71	+	1572268	1583052	10784
74	+	2881770	2892627	10857
75	+	2090355	2101159	10804
76	+	1400366	1411243	10877
77	+	2796510	2807303	10793
78	+	2830912	2841730	10818
79	-	1267578	1256688	10890
81	+	2724318	2735068	10750
82	-	1174164	1163323	10841
90	+	2852894	2863821	10927
91	-	1732362	1721512	10850
92	-	1267213	1256277	10936
95	-	1624428	1613553	10875
96	+	873055	883971	10916
99	+	2764725	2775523	10798
100	-	3123020	3112230	10790
102	-	1616067	1605261	10806
105	+	393156	403979	10823
106	-	156192	145310	10882
107	-	1266018	1255195	10823
108	+	2476984	2487777	10793
109	+	126542	137408	10866
110	-	3070227	3059435	10792
112	-	2323778	2312988	10790
114	+	3708659	3719597	10938
115	+	2704794	2715625	10831
118	+	2804335	2815163	10828
121	-	2406797	2395904	10893
123	+	2580373	2591177	10804
126	+	2025497	2036337	10840
130	-	3476548	3465758	10790
134	-	3653671	3642807	10864
135	-	1289857	1278910	10947
137	+	600631	611454	10823
142	+	1568480	1579377	10897
145	-	3619853	3608835	11018
147	-	1724525	1713631	10894
149	+	1457772	1468696	10924
151	+	3110736	3121480	10744
152	-	3037332	3026510	10822
155	+	2706288	2717172	10884
156	-	2523741	2512892	10849
165	-	2886493	2875593	10900
167	-	3215060	3204233	10827
169	-	2922729	2911850	10879
170	+	1458407	1469162	10755
171	+	2732231	2743114	10883
172	+	2735437	2746269	10832
175	-	661343	650539	10804
176	+	600700	611523	10823
177	-	1070080	1059198	10882
178	-	1768768	1757936	10832
182	-	3512789	3501899	10890
183	+	2706533	2717392	10859
185	+	2288560	2299409	10849
187	+	4105101	4115914	10813
189	+	2733624	2744505	10881
190	-	2993273	2982483	10790
192	+	2709103	2719983	10880
196	+	2738168	2748996	10828
198	-	2993343	2982553	10790
202	-	46362	35545	10817
205	+	2892867	2903767	10900
206	-	4124332	4113437	10895
210	-	2869598	2858784	10814
211	-	3009540	2998750	10790
212	+	3908276	3919101	10825
214	+	3388948	3399868	10920
216	+	2936480	2947391	10911
217	+	909835	920754	10919
220	-	3138447	3127658	10789
222	+	1500859	1511741	10882
223	-	2578377	2567448	10929
224	+	600630	611453	10823
--------------------------------------------------------------------------------
Block #335
Seq_id	Strand	Start	End	Length
8	+	922229	932078	9849
11	-	4036079	4026304	9775
12	+	3380757	3390649	9892
13	+	1100968	1110843	9875
17	+	969747	979637	9890
18	+	3068959	3078776	9817
20	-	1080956	1071227	9729
21	+	1098642	1108459	9817
25	-	2801256	2791438	9818
26	+	3043164	3052981	9817
30	+	1269321	1279185	9864
34	-	3133243	3123482	9761
35	+	2541692	2551618	9926
36	-	2039933	2030179	9754
37	-	2469089	2459262	9827
40	+	1717965	1727775	9810
41	-	1000865	991076	9789
42	-	498217	488431	9786
43	+	5494	15323	9829
43	+	3515607	3525438	9831
44	-	1148251	1138456	9795
45	+	3625199	3635069	9870
47	+	2522249	2532129	9880
51	-	2117976	2108226	9750
53	+	3934841	3944759	9918
56	+	3819854	3829718	9864
57	+	3031558	3041375	9817
58	+	2766232	2776172	9940
60	-	2511494	2501629	9865
63	+	2951249	2961139	9890
65	+	2737269	2747209	9940
67	+	3147619	3157608	9989
68	-	2189204	2179395	9809
70	+	1534584	1544481	9897
71	-	1598824	1589095	9729
74	+	2866237	2876127	9890
75	-	2116958	2107201	9757
76	+	1383595	1393513	9918
77	+	2781027	2790995	9968
78	+	2815430	2825383	9953
79	-	1282653	1272900	9753
81	+	2709145	2719001	9856
82	-	1189328	1179490	9838
90	+	2837653	2847551	9898
91	-	1747432	1737664	9768
92	-	1282475	1272577	9898
95	-	1639829	1629963	9866
96	+	857821	867690	9869
99	+	2749222	2759266	10044
100	+	3096371	3106188	9817
102	-	1631192	1621412	9780
105	-	420020	410270	9750
106	-	171552	161603	9949
107	-	1280295	1270482	9813
108	+	2461763	2471618	9855
109	+	111166	121036	9870
110	+	3043555	3053393	9838
112	+	2297129	2306946	9817
114	+	3693167	3703077	9910
115	+	2689621	2699477	9856
118	+	2789125	2798949	9824
121	-	2421872	2412090	9782
123	-	2606969	2597219	9750
