mean_length,genomes,chroms
5520.679012345679,81,2
6163.753086419753,81,2
28107.37037037037,81,2
13746.901234567902,81,2
17071.58024691358,81,2
35607.83950617284,81,2
8322.79012345679,81,2
5177.814814814815,81,2
11450.987654320988,81,2
28365.987654320987,81,2
12102.271604938273,81,2
34000.28395061728,81,2
43158.41975308642,81,2
13492.975308641975,81,2
19312.51851851852,81,2
45423.62962962963,81,2
5699.802469135802,81,2
27404.012345679013,81,2
14811.62962962963,81,2
6874.7037037037035,81,2
3560.0493827160494,81,2
6082.753086419753,81,2
12701.074074074075,81,2
3928.378048780488,81,2
15526.765432098766,81,2
8169.83950617284,81,2
15505.12676056338,71,2
5165.238095238095,42,2
32268.876543209877,81,2
10719.098765432098,81,2
24252.35802469136,81,2
4772.313725490196,51,2
6602.802469135802,81,2
21055.876543209877,81,2
15724.358024691359,81,2
3715.9333333333334,75,2
7324.259259259259,81,2
14782.987654320988,81,2
6056.530864197531,81,2
28960.35802469136,81,2
28806.679012345678,81,2
12364.469135802468,81,2
5056.851851851852,81,2
7310.827160493827,81,2
7554.5,81,2
11702.012195121952,81,2
20528.60975609756,81,2
16203.567901234568,81,2
14594.493827160493,81,2
4594.864197530864,81,2
22737.234567901236,81,2
3445.41975308642,81,2
4514.625,24,2
7164.050632911392,79,2
6975.37037037037,81,2
14016.271604938273,81,2
4978.469135802469,81,2
7926.1125,80,2
3206.35,80,2
11280.7125,80,2
19145.425,80,2
51104.0,12,2
6646.75,12,2
36394.40740740741,81,2
3850.320987654321,81,2
3372.3086419753085,81,2
10821.234567901234,81,2
14008.469135802468,81,2
81894.69135802469,81,2
3139.358024691358,81,2
10221.061728395061,81,2
4807.16049382716,81,2
5122.777777777777,81,2
13034.913580246914,81,2
6002.864197530864,81,2
3888.987341772152,79,2
3446.46835443038,79,2
3734.7125,80,2
3638.3375,80,2
61857.39240506329,79,2
5643.9876543209875,81,2
9240.938271604939,81,2
8577.506172839507,81,2
4011.8024691358023,81,2
11234.876543209877,81,"1,2"
11316.308641975309,81,"1,2"
3690.0,10,"1,2"
3139.0,2,2
20767.938271604937,81,2
11243.123456790123,81,2
3761.0246913580245,81,2
24577.35802469136,81,2
5513.111111111111,81,2
17267.123456790123,81,2
5191.481481481482,81,2
8091.938271604939,81,2
30355.938271604937,81,2
13170.876543209877,81,2
8551.395061728395,81,2
34460.358024691355,81,2
4002.716049382716,81,2
12434.703703703704,81,2
16648.85185185185,81,2
6338.814814814815,81,2
32403.35802469136,81,2
8521.222222222223,81,2
18353.777777777777,81,2
3677.6666666666665,81,2
7594.469135802469,81,2
36287.333333333336,81,2
7273.7037037037035,81,2
26210.765432098764,81,2
16415.716049382718,81,2
4305.925925925926,81,2
5632.962962962963,81,2
13510.79012345679,81,2
10148.925925925925,81,2
14841.444444444445,81,2
5928.098765432099,81,2
14318.024691358025,81,2
23151.85185185185,81,2
4339.049382716049,81,2
5220.728395061728,81,2
4698.925925925926,81,2
22596.716049382718,81,2
16580.567901234568,81,2
37456.58024691358,81,2
28362.555555555555,81,2
10161.493827160493,81,2
14635.197530864198,81,2
3482.296296296296,81,2
24312.35802469136,81,2
3274.9135802469136,81,2
15683.543209876543,81,2
23405.0987654321,81,2
3543.1604938271603,81,2
5108.716049382716,81,2
4897.333333333333,81,2
3426.5,12,"1,2"
8124.090909090909,11,2
5216.272727272727,11,2
3544.1111111111113,63,2
3388.3333333333335,3,2
8488.953125,64,2
4779.375,48,2
5499.441176470588,34,2
3925.529411764706,34,2
8000.787878787879,33,2
4308.757575757576,33,2
3241.5151515151515,33,2
6693.15625,32,2
6564.424242424242,33,2
11793.60606060606,33,2
4725.428571428572,7,2
7773.0,2,2
3179.6,5,2
3123.4761904761904,18,"1,2"
10687.8,5,2
11098.4,5,2
5214.5,2,1
6044.0,2,1
3549.5,2,2
27715.666666666668,3,"1,2"
3625.0,2,2
4176.5,2,2
9720.0,2,2
3490.0,2,2
4353.0,4,2
16697.0,2,2
4931.0,6,1
3346.5,2,1
8791.57142857143,7,2
4005.0,2,2
8004.0,2,2
5201.0,3,"1,2"
5669.0,2,2
3318.3333333333335,6,"1,2"
4178.428571428572,7,2
4364.25,4,2
14904.0,2,1
6332.0,2,1
6198.5,2,2
4408.8,5,2
5688.5,2,2
6701.4,5,2
3601.5,2,2
7758.6,5,2
5074.5,2,2
7481.0,2,2
3965.0,2,2
7396.0,3,2
4004.0,4,2
23283.4,5,"1,2"
6518.9375,8,2
18456.75,8,2
3541.25,8,2
20932.125,8,2
3787.875,8,2
4678.5,6,2
4672.285714285715,7,2
4960.0,2,2
10041.0,2,2
4878.5,2,2
13399.333333333334,3,1
17863.0,3,1
3883.5,2,1
3880.5,2,1
18943.5,2,1
5063.0,2,1
6249.0,2,1
3568.5,2,1
6775.0,2,1
3295.0,2,1
19176.5,2,1
4066.6666666666665,3,1
3735.714285714286,7,1
40937.0,2,1
6957.333333333333,3,1
9299.666666666666,3,1
3419.6666666666665,3,1
4607.333333333333,3,1
10064.0,2,1
6691.0,4,2
3245.5,8,1
8081.0,2,1
6903.0,3,1
4857.0,2,1
5088.0,2,1
8907.333333333334,3,1
6400.333333333333,3,1
4591.444444444444,9,1
4211.666666666667,2,"1,2"
4343.0,2,1
8748.5,2,1
5556.666666666667,3,2
4791.666666666667,3,2
3870.3333333333335,3,2
25071.0,2,2
4543.0,2,2
22639.666666666668,3,"1,2"
4071.0,2,2
3699.0,6,1
3036.1428571428573,7,1
13044.0,2,1
8472.5,2,1
13162.5,2,1
3466.0,2,1
8032.0,2,1
4507.0,2,1
5959.0,2,1
10142.666666666666,3,1
4164.5,2,1
4450.5,4,1
5545.0,4,1
8184.0,4,1
7632.0,2,2
9625.0,3,"1,2"
9071.0,2,1
9000.0,2,1
3384.5,2,2
12468.0,2,2
4959.5,2,2
36485.5,2,1
13675.5,2,1
4667.5,2,1
7269.0,2,1
4098.5,2,1
4157.5,2,1
4446.0,2,1
4228.0,3,1
4898.333333333333,3,1
3349.0,3,1
16839.0,2,1
3757.6666666666665,3,1
3075.0,4,1
8822.0,2,1
6780.5,2,1
6351.5,2,1
10488.5,2,1
4433.5,2,1
3119.3333333333335,3,1
5308.333333333333,3,1
5540.0,2,1
6700.0,2,1
3332.0,3,1
3549.0,2,1
5473.0,3,1
3468.6666666666665,3,1
3215.0,2,1
6870.5,2,1
36467.666666666664,3,1
8453.0,2,2
4678.5,2,1
7718.0,2,1
3289.0,2,1
10136.0,2,1
5113.0,2,1
3661.0,2,1
3355.0,2,1
3099.0,2,1
