block,chroms,mean_length,std_length,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,tree_consistent
262,1,10669.735294117647,129.96273421153091,0.41335958730000005,2,23,False
263,1,3590.323529411765,4.707444593627855,0.41335958730000005,2,23,False
259,1,3907.6470588235293,2.785280141588639,0.2067973882,2,13,False
513,2,4779.375,384.2386207922537,0.19781755409999996,2,16,False
260,1,3205.4333333333334,2.8715075405709025,0.19775604499999996,2,13,False
400,2,4772.313725490196,4.267938824186367,0.19270043399999995,2,13,False
396,2,5165.238095238095,12.725694898809904,0.1551806393,2,13,False
519,2,6693.15625,0.8699631816921909,0.152280845,2,13,False
515,2,3925.529411764706,3.1737461082861675,0.14962088669999998,2,12,False
514,2,5499.441176470588,2.568945497447957,0.14962088669999998,2,12,False
198,1,3323.35,291.0486686105951,0.14010063879999995,2,14,False
197,1,5424.05,2.1558061137310096,0.14010063879999995,2,14,False
264,1,5146.7692307692305,335.97462217489306,0.13051861399999998,2,11,False
508,2,8124.090909090909,11.040870728628288,0.122700513,1,9,False
509,2,5216.272727272727,5.940476091892561,0.122700513,1,9,False
521,2,11793.60606060606,232.8005960882116,0.12042396520000001,2,12,False
517,2,4308.757575757576,228.97691167227217,0.12042396520000001,2,12,False
516,2,8000.787878787879,228.79960234863694,0.12042396520000001,2,12,False
520,2,6564.424242424242,17.45822772606572,0.12042396520000001,2,12,False
518,2,3241.5151515151515,2.3499995115565206,0.12042396520000001,2,12,False
599,1,4591.444444444444,10.089720964219104,0.1160505072,1,8,False
421,2,4514.625,1.7514874630819752,0.10890067699999997,1,8,False
525,1;2,3123.4761904761904,0.9571310115353227,0.10153777459999998,2,11,False
546,2,4178.428571428572,1.9166296949998196,0.08846832599999997,1,7,False
306,1,5731.125,1.4523687548277813,0.081198568,1,7,False
204,1,13454.884615384615,131.40800435843875,0.079920876,1,7,False
134,1,8686.545454545454,2.2305171175245992,0.07733163800000002,1,7,False
61,1,3575.0,2.0,0.076662708,1,7,False
512,2,8488.953125,7.527926522912867,0.07488147799999999,2,11,False
430,2,51104.0,8.850612031567836,0.06128517199999999,1,7,False
431,2,6646.75,0.924211375534118,0.06128517199999999,1,7,False
307,1,4302.181818181818,355.73708835748045,0.0565025588,2,9,False
510,2,3544.1111111111113,1.085417206176429,0.053577675,2,10,False
62,1,5387.428571428572,8.633111388421788,0.050887540999999994,1,6,False
266,1,7202.92,252.11884816490814,0.04639455099999999,2,9,False
540,2,8791.57142857143,3.499271061118826,0.045122758799999996,1,5,False
284,1;2,3248.0,9.9498743710662,0.0405089412,1,5,False
272,1,15230.833333333334,6.817053778739187,0.03808676999999999,2,7,False
291,1;2,4164.909090909091,19.28473039599675,0.037779092,1,5,False
290,1,11406.714285714286,7.439552323595163,0.036853736,1,5,False
15,1,8127.944444444444,156.30729073143857,0.036456804,1,5,False
16,1,5724.958904109589,3.593900297305061,0.036456804,1,5,False
201,1,3099.45,7.940245588141465,0.036086341999999993,1,5,False
200,1,4985.383333333333,0.5193478816960961,0.036086341999999993,1,5,False
316,1,4359.818181818182,135.76371062978112,0.0348908087,2,7,False
300,1,6185.833333333333,4.524623986832743,0.034342094,1,5,False
527,2,11098.4,240.13213029496904,0.025561591,1,4,False
526,2,10687.8,193.69605055343797,0.025561591,1,4,False
560,2,4004.0,113.74313166077326,0.025278067,1,4,False
310,1,3039.0,13.856406460551018,0.023230194000000003,1,4,False
311,1,3069.0,1.7320508075688772,0.023230194000000003,1,4,False
611,1,3036.1428571428573,1.6413036132965795,0.0229877309,1,4,False
584,1,3735.714285714286,5.897076411585798,0.0229011656,1,4,False
547,2,4364.25,577.7834261208952,0.022397915,1,4,False
292,1;2,6146.0,0.0,0.021829244999999997,1,4,False
223,1,5213.75,144.70897518813408,0.021546981,1,4,False
222,1,5282.5,77.97595783316804,0.021546981,1,4,False
221,1,3720.0,16.186414056238647,0.021546981,1,4,False
225,1,8933.75,3.897114317029974,0.021546981,1,4,False
538,1,4931.0,5.385164807134504,0.021292306,1,4,False
113,1,4101.25,3.344772040064913,0.019703996,1,4,False
524,2,3179.6,5.713142742834281,0.019667306,1,4,False
288,1,3223.875,2.9764702249476644,0.018483202,1,4,False
455,1;2,3690.0,0.0,0.018456417,1,4,False
44,1,3110.3333333333335,4.760952285695233,0.015032463999999999,1,4,False
282,1,6251.75,1.0897247358851685,0.014270241999999999,1,3,False
278,1,9777.5,538.3792808048987,0.013280624,1,3,False
258,1,3660.6666666666665,11.145502331533658,0.0131562234,1,3,False
257,1,5932.333333333333,4.189935029992178,0.0131562234,1,3,False
301,1,4201.0,9.201449161228174,0.012792595199999998,1,3,False
303,1,4532.5,7.22841614740048,0.01245536,1,3,False
659,1,36467.666666666664,276.0221408188521,0.012372227999999999,1,3,False
619,1,10142.666666666666,3.7712361663282534,0.012257175999999998,1,3,False
553,2,6701.4,23.820999139414788,0.0121184306,1,3,False
551,2,4408.8,20.5854317418897,0.0121184306,1,3,False
568,2,4672.285714285715,209.03295316816457,0.011624994,1,3,False
63,1,12557.0,15.57776192739723,0.011527465999999998,1,3,False
285,1,4516.25,0.82915619758885,0.011316662000000002,1,3,False
640,1,3349.0,0.0,0.011316662000000002,1,3,False
277,1,9335.42857142857,105.09703970665416,0.011189687200000001,1,3,False
275,1,4503.428571428572,101.47886077244596,0.011189687200000001,1,3,False
276,1,3982.4285714285716,27.994168488950606,0.011189687200000001,1,3,False
511,2,3388.3333333333335,25.824191930995422,0.011136894,1,3,False
572,1,13399.333333333334,91.68908816696177,0.011073568399999999,1,3,False
573,1,17863.0,1.4142135623730951,0.011073568399999999,1,3,False
639,1,4898.333333333333,0.4714045207910317,0.010721366,1,3,False
610,1,3699.0,3.1622776601683795,0.0106562486,1,3,False
224,1,3131.0,136.57476584884438,0.010610285999999998,1,3,False
621,1,4450.5,4.330127018922194,0.010571766,1,3,False
622,1,5545.0,0.0,0.010571766,1,3,False
623,1,8184.0,0.0,0.010571766,1,3,False
395,2,15505.12676056338,320.0314654238502,0.010472368599999999,1,3,False
309,1,3783.3333333333335,0.4714045207910317,0.010356474000000001,1,3,False
642,1,3757.6666666666665,628.3917744705305,0.010156117199999998,1,3,False
135,1,3563.1666666666665,1.0671873729054746,0.010041028,1,3,False
591,2,6691.0,3.4641016151377544,0.009188188600000001,1,4,False
565,2,20932.125,20.29431878630076,0.009026948,1,3,False
563,2,18456.75,1.920286436967152,0.009026948,1,3,False
564,2,3541.25,1.8540496217739157,0.009026948,1,3,False
566,2,3787.875,1.2686114456365274,0.009026948,1,3,False
562,2,6518.9375,0.24206145913796356,0.009026948,1,3,False
643,1,3075.0,0.0,0.008252746,1,3,False
265,1,7203.5,536.6472304969066,0.007737644,1,3,False
592,1,3245.5,425.39981194166035,0.0065239600000000005,1,3,False
353,2,3078.974358974359,3.8496565247196926,0.004940278,1,2,False
661,1,4678.5,1.5,0.004885891,1,2,False
552,2,5688.5,70.5,0.0048213032999999995,1,2,False
312,1,3333.0,12.0,0.004814766,1,2,False
602,1,8748.5,132.5,0.0046779227999999996,1,2,False
271,1,6297.666666666667,8.956685895029603,0.0045949041999999996,1,2,False
660,2,8453.0,0.0,0.0045873962,1,2,False
313,1,5983.857142857143,2.7479120088101916,0.0045564133,2,5,False
583,1,4066.6666666666665,0.4714045207910317,0.004536226199999999,1,2,False
261,1,3447.6666666666665,2.357022603955158,0.004462459199999999,1,2,False
618,1,5959.0,6.0,0.004457984,1,2,False
598,1,6400.333333333333,5.557777333511022,0.004456213,1,2,False
597,1,8907.333333333334,0.4714045207910317,0.004456213,1,2,False
448,2,61857.39240506329,453.90938753700135,0.0043898189,1,2,False
665,1,5113.0,1.0,0.0043609373,1,2,False
256,1,15755.5,0.5,0.0043262627,1,2,False
