id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,1738h–1739t,11085,0.09527539539999999,1,7,0.09527539539999999,7,False
2,1256h–1260t,9695,0.09527539539999999,1,7,0.09527539539999999,7,False
3,788h–804t,8198,0.00273142,1,2,0.007809271999999999,3,False
4,589h–590t,11762,0.00273142,1,2,0.007809271999999999,3,False
5,1682h–1683t,7127,0,0,0,0.004600939,2,False
6,548h–549t,6608,0,0,0,0.004540552999999999,2,False
7,139h–143t,6600,0,0,0,0.004317842,2,False
8,866h–867t,1653,0,0,0,0,0,True
9,865h–866t,464,0,0,0,0,0,True
10,744h–745t,1144,0,0,0,0,0,True
11,743h–744t,1,0,0,0,0,0,True
12,730h–731t,1,0,0,0,0,0,True
13,726h–727t,1246,0,0,0,0,0,True
14,723h–726t,13076,0,0,0,0,0,True
15,715h–721t,15762,0,0,0,0,0,True
16,709h–715t,12453,0,0,0,0,0,True
17,604h–606t,11134,0,0,0,0,0,True
18,602h–603t,2244,0,0,0,0,0,True
19,601h–602t,233,0,0,0,0,0,True
20,590h–591t,68,0,0,0,0,0,True
21,568h–569t,3028,0,0,0,0,1,True
22,522h–523t,1,0,0,0,0,0,True
23,520h–521t,3326,0,0,0,0,0,True
24,50h–60t,35418,0,0,0,0,0,True
25,502h–503t,24840,0,0,0,0,0,True
26,498h–499t,1880,0,0,0,0,0,True
27,48h–49t,1102,0,0,0,0,0,True
28,453h–454t,1,0,0,0,0,0,True
29,452h–453t,457,0,0,0,0,0,True
30,418h–419t,638,0,0,0,0,0,True
31,416h–417t,729,0,0,0,0,0,True
32,316h–317t,1,0,0,0,0,0,True
33,315h–316t,3257,0,0,0,0,0,True
34,273h–274t,10168,0,0,0,0,1,True
35,209h–210t,1,0,0,0,0,0,True
36,206h–207t,1,0,0,0,0,0,True
37,185h–186t,8478,0,0,0,0,1,True
38,1849h–1850t,1,0,0,0,0,0,True
39,1847h–1848t,1,0,0,0,0,0,True
40,1809h–1810t,1386,0,0,0,0,0,True
41,1806h–1807t,1,0,0,0,0,0,True
42,1706h–1707t,19,0,0,0,0,0,True
43,1702h–1703t,1,0,0,0,0,0,True
44,1701h–1702t,748,0,0,0,0,0,True
45,1690h–1701t,22792,0,0,0,0,1,True
46,167h–169t,18031,0,0,0,0,1,True
47,1671h–1672t,1612,0,0,0,0,0,True
48,1669h–1670t,2542,0,0,0,0,0,True
49,1651h–1653t,8197,0,0,0,0,0,True
50,1648h–1649t,3412,0,0,0,0,0,True
51,1645h–1646t,1663,0,0,0,0,0,True
52,1593h–1602t,16176,0,0,0,0,0,True
53,1585h–1586t,1227,0,0,0,0,0,True
54,1573h–1574t,2,0,0,0,0,0,True
55,1569h–1572t,4321,0,0,0,0,0,True
56,1536h–1537t,1205,0,0,0,0,0,True
57,1534h–1535t,245,0,0,0,0,0,True
58,1503h–1504t,1681,0,0,0,0,0,True
59,1501h–1502t,1,0,0,0,0,0,True
60,1480h–1481t,3643,0,0,0,0,0,True
61,1478h–1479t,1925,0,0,0,0,0,True
62,1465h–1469t,10960,0,0,0,0,0,True
63,1459h–1461t,2127,0,0,0,0,0,True
64,1455h–1459t,20940,0,0,0,0,0,True
65,1386h–1387t,939,0,0,0,0,0,True
66,1384h–1385t,1388,0,0,0,0,0,True
67,1380h–1381t,507,0,0,0,0,1,True
68,1379h–1380t,3137,0,0,0,0,1,True
69,1378h–1379t,519,0,0,0,0,0,True
70,1272h–1274t,1885,0,0,0,0,0,True
71,1271h–1272t,1,0,0,0,0,0,True
72,1205h–1206t,1,0,0,0,0,0,True
73,1171h–1172t,1182,0,0,0,0,0,True
74,1170h–1171t,221,0,0,0,0,0,True
75,1169h–1170t,976,0,0,0,0,0,True
