mean_length,genomes,chroms
22936.935483870966,31,1
7051.2692307692305,26,1
4113.0,31,1
19112.1935483871,31,1
58590.290322580644,31,1
34655.48387096774,31,1
40436.8717948718,31,1
19641.525,31,1
5002.909090909091,31,1
37202.709677419356,31,1
5200.774193548387,31,1
36729.354838709674,31,1
31257.612903225807,31,1
20718.1935483871,31,1
10455.90322580645,31,1
7914.548387096775,31,1
31870.1935483871,31,1
28888.16129032258,31,1
49422.290322580644,31,1
48277.51612903226,31,1
27091.1935483871,31,1
12671.806451612903,31,1
33877.74193548387,31,1
7022.129032258064,31,1
6833.5161290322585,31,1
14863.258064516129,31,1
26438.3,30,1
21380.548387096773,31,1
35875.45161290323,31,1
12938.434782608696,23,1
9302.58064516129,31,1
22624.645161290322,31,1
18062.545454545456,31,1
6880.71875,31,1
17117.935483870966,31,1
23826.677419354837,31,1
13877.90909090909,31,1
10217.272727272728,31,1
29984.1935483871,31,1
35470.74193548387,31,1
6131.1612903225805,31,1
19824.290322580644,31,1
19407.74193548387,31,1
5116.4838709677415,31,1
10127.193548387097,31,1
16848.225806451614,31,1
21608.41935483871,31,1
11026.129032258064,31,1
4125.866666666667,30,1
34481.709677419356,31,1
3224.2258064516127,31,1
7554.677419354839,31,1
75774.32258064517,31,1
27239.870967741936,31,1
25972.90322580645,31,1
8362.612903225807,31,1
9476.894736842105,31,1
5425.903225806452,31,1
5585.0,31,1
16123.322580645161,31,1
33356.645161290326,31,1
62720.3870967742,31,1
52778.58064516129,31,1
20237.290322580644,31,1
3371.548387096774,31,1
5846.709677419355,31,1
16021.620689655172,29,1
20335.58064516129,31,1
25888.16129032258,31,1
18563.90322580645,31,1
14411.483870967742,31,1
39234.83870967742,31,1
25131.709677419356,31,1
7939.225806451613,31,1
23827.322580645163,31,1
27435.677419354837,31,1
41630.290322580644,31,1
3692.0,31,1
14295.645161290322,31,1
18202.935483870966,31,1
16220.838709677419,31,1
4834.129032258064,31,1
7124.129032258064,31,1
11226.133333333333,30,1
4227.323529411765,31,1
